5	0.105368
9	0.0271028
13	0.00562851
17	0.000972221
21	0.000183761
25	3.93539e-05
29	1.19634e-05
33	4.9287e-06
37	2.00879e-06
41	9.02375e-07
45	3.86308e-07
49	1.53924e-07
53	5.58895e-08
57	2.51823e-08
61	1.23478e-08
65	7.11355e-09
69	3.70645e-09
73	1.78369e-09
77	1.20683e-09
81	7.38393e-10
85	4.21242e-10
89	2.26783e-10
93	1.15126e-10
97	5.45013e-11
101	2.38423e-11
105	8.85958e-12
109	4.42113e-12
113	3.9484e-12
117	1.16085e-12
121	8.62643e-13
125	7.50289e-13
129	4.42313e-13
133	7.81863e-12
137	2.76668e-13
141	3.75699e-13
145	1.0747e-13
149	2.06057e-13
153	1.22569e-13
157	9.83658e-14
161	1.46994e-13
