5	0.0893449
9	0.0152465
13	0.00420137
17	0.00143042
21	0.000552719
25	0.000233045
29	0.000105052
33	5.04675e-05
37	2.53049e-05
41	1.31019e-05
45	6.9917e-06
49	3.81928e-06
53	2.13827e-06
57	1.22064e-06
61	7.09409e-07
65	4.19049e-07
69	2.51135e-07
73	1.52783e-07
77	9.42117e-08
81	5.86789e-08
85	3.69938e-08
89	2.36385e-08
93	1.52445e-08
97	9.91084e-09
101	6.48712e-09
105	4.28445e-09
109	2.85774e-09
113	1.91351e-09
117	1.28945e-09
121	8.77486e-10
125	5.97351e-10
129	4.11675e-10
133	2.83756e-10
137	1.97427e-10
141	1.37491e-10
145	9.66407e-11
149	6.78388e-11
153	4.81918e-11
157	3.41586e-11
161	2.44254e-11
