5	0.0207726
9	0.00336192
13	0.000706131
17	0.000111067
21	3.22825e-05
25	1.24034e-05
29	4.63599e-06
33	1.63096e-06
37	5.11249e-07
41	1.52945e-07
45	4.1094e-08
49	1.4709e-08
53	8.22399e-09
57	4.04654e-09
61	1.79693e-09
65	7.34423e-10
69	2.78505e-10
73	9.77442e-11
77	3.15043e-11
81	1.08273e-11
85	6.95977e-12
89	3.8895e-12
93	1.95743e-12
97	9.10966e-13
101	3.95461e-13
105	1.60413e-13
109	5.99312e-14
113	2.0893e-14
117	8.88178e-15
121	5.77316e-15
125	3.88578e-15
129	2.38698e-15
133	1.88738e-15
137	1.60982e-15
141	1.77636e-15
145	1.22125e-15
149	1.33227e-15
153	1.44329e-15
157	1.66533e-15
161	1.22125e-15
